NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
DGNS,51.1800000000,5.46385697,0.183020896,0.224021515,0.261428173,0.319993708,0.255053339
DIGI,-7.7000000000,1.691704929,0.591119635,1.445703158,-0.34707071,-0.848831931,-0.458155122
DILD,-7.0000000000,1.58847183,0.629535873,1.699316687,-0.006773999,-0.018285169,-0.059452546
DIVA,1784.7300000000,11.18849188,0.089377551,0.098149953,0.534291094,0.586731739,0.34663182
DKFT,-7.0700000000,1.286014313,0.777596322,3.496328524,-0.041311696,-0.185750957,-0.099099716
DLTA,177.0000000000,4.072982797,0.24552031,0.325416726,0.000111057,0.000147197,0.000293026
DMAS,13.1700000000,9.496585481,0.105301006,0.117694338,0.097618266,0.109107383,0.485575575
DMMX,3.1600000000,9.007639882,0.111016872,0.124880741,0.217594582,0.244767955,0.316399167
DMND,22.0000000000,5.984218526,0.167106197,0.200633258,0.036098538,0.043341105,0.042755428
DNAR,0.9700000000,1.600951659,0.624628479,1.664027357,0.001667856,0.004443213,0.027506879
DNET,28.4800000000,2.570603122,0.389013765,0.636698085,0.024274536,0.039730087,0.793488997
DOID,-26.4679500000,1.216882501,0.821772028,4.610791539,-0.011567691,-0.064903903,-0.026984548
DPNS,56.2300000000,5.402807246,0.185088965,0.227127817,0.04828833,0.059255953,0.172014938
DSFI,6.2100000000,1.250905425,0.799420947,0.96585864,0.046665851,0.056381579,0.029433228
DSNG,39.2300000000,1.876822592,0.532815411,1.140481562,0.030374442,0.065015933,0.08396543
DSSA,1144.5600000000,2.543432477,0.39316947,0.647906543,0.044353858,0.073091013,0.094574231
DUTI,229.7500000000,3.417827994,0.292583478,0.413594351,0.030304344,0.042838049,0.341729327
DVLA,239.0000000000,3.210736165,0.311455052,0.452338011,0.122884331,0.178469585,0.170597953
DWGL,5.5400000000,0.994592711,1.005436687,-184.93555,0.046181637,-8.494444772,0.029665525
DYAN,-17.0000000000,2.161597709,0.462620772,0.860883241,-0.095646971,-0.177987846,-0.379467865
EAST,1.1700000000,24.29186078,0.041166052,0.042933453,0.018946136,0.019759559,0.159642421
EDGE,240.0000000000,4.314148624,0.231795445,0.301736619,0.06717985,0.087450471,0.192962115
EKAD,114.7031832764,7.754296694,0.128960761,0.148053905,0.073480989,0.084360136,0.188829104
ELSA,5.1500000000,2.107845644,0.47441804,0.902652825,0.005315528,0.010113604,0.006566213
EMTK,3.7200000000,9.270894751,0.107864454,0.120905903,0.020214406,0.022658447,0.05730175
ENRG,22.4619900000,1.667024368,0.599871255,1.499195603,0.016815198,0.042024468,0.060788383
ENZO,2.4800000000,2.39039739,0.418340484,0.719218841,0.020365188,0.035012215,0.006675815
EPAC,2.8400000000,1.995665158,0.501086064,1.004353714,0.002250532,0.004510861,0.007283294
EPMT,249.0000000000,3.147214779,0.317741263,0.465719596,0.068534004,0.100451633,0.035609716
ERAA,45.0000000000,2.250187915,0.444407328,0.799879752,0.071819613,0.129266668,0.025634272
ERTX,15.7377000000,1.357701216,0.736539077,2.795629301,0.018322285,0.069544603,0.019829645
ESIP,1.5800000000,2.730896099,0.366180171,0.577735429,0.011887525,0.018755369,0.026327437
ESSA,8.0119200000,1.558691444,0.641563796,1.78989675,0.009518417,0.0265554,0.032121855
ESTA,0.2700000000,3.542185244,0.282311605,0.393362365,0.001979764,0.002758529,0.022675966
ESTI,7.0104300000,1.36470027,0.732761634,2.741977681,0.018939206,0.070870087,0.045519081
EXCL,95.0000000000,1.406488214,0.710990671,2.460095925,0.014819548,0.051277059,0.051332782
FAPA,39.1000000000,1.582399385,0.631951712,1.71703478,0.019277753,0.052378325,0.069639534
FAST,-51.0000000000,1.420056925,0.704197122,2.380629718,-0.056785006,-0.191969078,-0.058254509
FILM,2.3400000000,27.12101413,0.036871778,0.038283353,0.014835142,0.015403081,0.105018848
FIRE,12.6900000000,3.131374942,0.319348535,0.469180706,0.034186269,0.050225807,0.026574509
FISH,615.2010000000,1.526652206,0.655028038,1.898786311,0.049679841,0.144011244,0.023540655
FITT,-8.7500000000,1.680960109,0.594898115,1.468514802,-0.088839256,-0.219301019,-0.974690652
FMII,3.6000000000,3.681606642,0.271620544,0.372910771,0.01124258,0.015435059,0.243708972
FOOD,-13.5500000000,1.734289755,0.576604917,1.36186021,-0.092981877,-0.219610195,-0.147828458
FORU,-2.3200000000,6.397132468,0.156320039,0.185283575,-0.024057337,-0.028514767,-0.031310778
FPNI,24.3219000000,2.607632485,0.383489624,0.622032715,0.055622027,0.090220748,0.031461071
FREN,-1.2100000000,1.433493802,0.697596319,2.306838056,-0.010585164,-0.035003423,-0.057801734
FUJI,6.4900000000,108.4842009,0.009217932,0.009303693,0.05621974,0.056742791,0.708389824
GAMA,-0.0050000000,4.538693041,0.220327744,0.282590207,-0.003662329,-0.004697267,-0.27588541
GDST,-2.4400000000,2.031302044,0.492295079,0.969648035,-0.012714167,-0.025042435,-0.018514733
GDYR,100.1490000000,1.668999632,0.599161307,1.494769134,0.023539022,0.058724426,0.024797991
GEMS,477.9839605923,1.871131514,0.534435978,1.147932297,0.278040185,0.597211494,0.188970141
GGRM,2149.0000000000,3.260786279,0.306674499,0.442323987,0.049663717,0.07163117,0.044906458
GGRP,47.2131000000,3.182689431,0.31419968,0.458150384,0.037712017,0.054989791,0.080018793
GHON,120.0000000000,3.802487545,0.26298574,0.35682585,0.067407239,0.091459884,0.529522685
GJTL,5.5500000000,1.571031103,0.636524635,1.751218094,0.000805363,0.002215728,0.001386064
GLOB,1.7600000000,0.016324924,61.25602909,-1.01659585,0.148704465,-0.002467877,0.062055988
GLVA,15.4700000000,1.718368462,0.581947366,1.392043294,0.045528931,0.108907173,0.020751482
GMFI,-19.7344892288,0.662450428,1.509546916,-2.962527825,-0.079227261,0.155485704,-0.235508926
GOLD,9.5800000000,10.71065273,0.093364991,0.102979689,0.034472202,0.038022139,0.371197022
GOOD,8.5600000000,1.790689392,0.558444141,1.26471913,0.056838766,0.12872384,0.058169328
GPRA,10.4200000000,2.651450309,0.37715208,0.605528361,0.02856802,0.045866767,0.178973796
GPSO,-9.0584043754,4.252947955,0.235131022,0.307413464,0.085643663,0.111971678,0.661392313
GSMF,-1.9600000000,1.476629453,0.67721797,2.098065895,-0.002801255,-0.008678471,-0.016092936
GTSI,-2.8614000000,2.118172613,0.472105056,0.894316305,-0.012139048,-0.022995197,-0.084289097
GWSA,6.2753659846,13.43634513,0.074425001,0.080409476,0.006272884,0.006777283,1.220608988
GZCO,-6.0000000000,2.05551912,0.48649511,0.947401123,-0.019831184,-0.038619271,-0.082901972
HAIS,28.8720000000,4.767119163,0.209770296,0.265454836,0.053578594,0.067801291,0.097559204
HDFA,4.0400000000,2.136123003,0.468137836,0.880186386,0.02468184,0.046406459,0.233828583
HDIT,-5.8800000000,8.690718522,0.115065285,0.130026863,-0.018673534,-0.021101595,-0.004155717
HEAL,51.3400000000,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197
HELI,3.3000000000,1.866387034,0.535794549,1.154218566,0.009039444,0.019472939,0.052143484
HERO,179.0000000000,1.317141539,0.759219849,3.153166262,-0.165108138,-0.685721547,-0.168045705
HEXA,0.0500000000,2.093773641,0.477606548,0.914265953,0.142380998,0.272555097,0.12596394
HKMU,-3.7600000000,1.981705486,0.504615851,1.01863544,-0.013760222,-0.027776872,-0.038801925
HMSP,48.0000000000,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322
HOKI,1.1925002475,3.055321446,0.327297804,0.486541899,0.011569342,0.017198311,0.018122792
HOMI,5.9700000000,1.876676057,0.532857014,1.140672193,0.018431702,0.039456232,0.123743549
HOTL,-7.7400000000,1.297113736,0.770942418,3.365714474,-0.02054076,-0.089675094,-0.741066088
HRME,-3.5962320000,3.489426447,0.286580048,0.401698954,-0.023044525,-0.032301486,-0.511138246
HRTA,33.2000000000,1.795469184,0.556957484,1.257119723,0.04604541,0.103930002,0.03919447
HRUM,206.0208000000,1,1,1.309469714,0.075076851,0.098310862,0.253049881
IATA,-5.7228040000,1.303818918,0.766977673,3.291434276,-0.091584478,-0.393028766,-0.645968933
IBFN,-50.3400000000,0.662983457,1.508333261,-2.967213393,-0.097383829,0.191574773,-7.513689625
ICBP,426.0000000000,1.970388999,0.507513999,1.030514568,0.056676585,0.115082631,0.142690874
ICON,3.8300000000,2.822655863,0.354276273,0.548649923,0.022110671,0.034241688,0.07654858
IDPR,-55.0000000000,1.756346948,0.569363588,1.322144557,0.076553011,0.177767158,0.187537119
IFII,6.1400000000,16.58682481,0.060288814,0.064156749,0.051333697,0.0546271,0.114110523
IFSH,21.0000000000,2.155224702,0.463988743,0.86563246,0.033059188,0.061676295,0.053105768
IGAR,55.3400000000,6.639028741,0.150624442,0.177335503,0.09744713,0.114727965,0.10879845
IKAI,-3.6700000000,2.709170277,0.369116703,0.585079213,-0.041013562,-0.065009745,-0.39993225
IKAN,0.0200000000,2.195855191,0.455403436,0.836221649,0.000110166,0.000202289,0.000208021
IKBI,0.0713450000,2.478578597,0.403457046,0.676325223,5.50394E-05,9.22639E-05,3.52124E-05
